sample_name	anonymized_name	collection_timestamp	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	taxon_id	title	tube_id	mouse_type	sampling_depth
14365.Con.feces.32	CC32	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.32	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 32	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	32	control	1801157.0
14365.Wound.feces.21	WC21	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.21	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 53	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	53	wound	6751830.0
14365.Con.feces.12	CC12	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.12	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 12	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	12	control	7439267.0
14365.Con.feces.14	CC14	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.14	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 14	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	14	control	10766641.0
14365.Wound.feces.4	WC4	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.4	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 36	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	36	wound	16548.0
14365.Wound.feces.17	WC17	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.17	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 49	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	49	wound	3834482.0
14365.Wound.feces.2	WC2	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.2	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 34	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	34	wound	370054.0
14365.Con.feces.23	CC23	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.23	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 23	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	23	control	8406391.0
14365.Con.feces.29	CC29	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.29	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 29	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	29	control	775037.0
14365.Wound.feces.23	WC23	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.23	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 55	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	55	wound	1802789.0
14365.Con.feces.21	CC21	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.21	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 21	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	21	control	5686386.0
14365.Wound.feces.19	WC19	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.19	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 51	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	51	wound	3426387.0
14365.Vanco.feces.23	VC23	2021-11-23 09:59:59.995000	mouse fecal sampleVanco.feces.23	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 87	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	87	vancomycin	9761885.0
14365.Con.feces.24	CC24	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.24	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 24	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	24	control	15683256.0
14365.Con.feces.8	CC8	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.8	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 8	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	8	control	609689.0
14365.Wound.feces.5	WC5	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.5	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 37	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	37	wound	556762.0
14365.Vanco.feces.22	VC22	2021-11-23 09:59:59.995000	mouse fecal sampleVanco.feces.22	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 86	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	86	vancomycin	3121814.0
14365.Con.feces.20	CC20	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.20	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 20	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	20	control	18442770.0
14365.Wound.feces.9	WC9	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.9	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 41	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	41	wound	3588558.0
14365.Wound.feces.6	WC6	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.6	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 38	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	38	wound	963460.0
14365.Wound.feces.7	WC7	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.7	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 39	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	39	wound	2054559.0
14365.Con.feces.26	CC26	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.26	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 26	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	26	control	8543598.0
14365.Wound.feces.27	WC27	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.27	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 59	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	59	wound	2573122.0
14365.Vanco.feces.25	VC25	2021-11-23 09:59:59.995000	mouse fecal sampleVanco.feces.25	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 89	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	89	vancomycin	33017277.0
14365.Wound.feces.18	WC18	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.18	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 50	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	50	wound	2481204.0
14365.Vanco.feces.17	VC17	2021-11-23 09:59:59.995000	mouse fecal sampleVanco.feces.17	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 81	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	81	vancomycin	2008438.0
14365.Con.feces.2	CC2	2021-11-23 10:00:00	mouse fecal sampleCon.feces.2	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 2	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	2	control	805384.0
14365.Vanco.feces.18	VC18	2021-11-23 09:59:59.995000	mouse fecal sampleVanco.feces.18	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 82	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	82	vancomycin	8671027.0
14365.Wound.feces.15	WC15	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.15	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 47	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	47	wound	8262280.0
14365.Wound.feces.30	WC30	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.30	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 62	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	62	wound	3508110.0
14365.Vanco.feces.16	VC16	2021-11-23 09:59:59.995000	mouse fecal sampleVanco.feces.16	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 80	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	80	vancomycin	2117903.0
14365.Con.feces.11	CC11	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.11	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 11	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	11	control	5418436.0
14365.Wound.feces.26	WC26	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.26	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 58	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	58	wound	1498107.0
14365.Vanco.feces.2	VC2	2021-11-23 09:59:59.995000	mouse fecal sampleVanco.feces.2	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 66	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	66	vancomycin	1279057.0
14365.Con.feces.17	CC17	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.17	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 17	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	17	control	5297860.0
14365.Vanco.feces.19	VC19	2021-11-23 09:59:59.995000	mouse fecal sampleVanco.feces.19	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 83	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	83	vancomycin	2003241.0
14365.Vanco.feces.7	VC7	2021-11-23 09:59:59.995000	mouse fecal sampleVanco.feces.7	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 71	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	71	vancomycin	3522607.0
14365.Wound.feces.8	WC8	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.8	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 40	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	40	wound	2858537.0
14365.Con.feces.7	CC7	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.7	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 7	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	7	control	724730.0
14365.Vanco.feces.3	VC3	2021-11-23 09:59:59.995000	mouse fecal sampleVanco.feces.3	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 67	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	67	vancomycin	761283.0
14365.Wound.feces.28	WC28	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.28	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 60	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	60	wound	5741332.0
14365.Con.feces.30	CC30	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.30	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 30	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	30	control	5950474.0
14365.Vanco.feces.20	VC20	2021-11-23 09:59:59.995000	mouse fecal sampleVanco.feces.20	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 84	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	84	vancomycin	3682321.0
14365.Vanco.feces.11	VC11	2021-11-23 09:59:59.995000	mouse fecal sampleVanco.feces.11	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 75	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	75	vancomycin	5477971.0
